latency_avg_ms,throughput_avg_kbps,energy_avg_j,packet_loss_percent,total_transmissions,successful_transmissions
41.23,1.26,1e-06,0.0,1,1
62.49,0.94,1e-06,50.0,2,1
57.81,0.98,1e-06,33.33,3,2
60.87,0.92,1e-06,25.0,4,3
63.42,0.88,1e-06,40.0,5,3
67.92,0.82,1e-06,33.33,6,4
61.35,1.04,1e-06,28.57,7,5
59.83,1.04,1e-06,25.0,8,6
59.86,1.02,1e-06,22.22,9,7
60.71,1.0,1e-06,30.0,10,7
58.9,1.02,1e-06,27.27,11,8
59.81,1.0,1e-06,25.0,12,9
58.29,1.02,1e-06,23.08,13,10
58.01,1.01,1e-06,21.43,14,11
60.71,0.98,1e-06,26.67,15,11
63.41,0.95,1e-06,25.0,16,12
64.0,0.94,1e-06,23.53,17,13
66.14,0.91,1e-06,22.22,18,14
66.06,0.91,1e-06,26.32,19,14
65.3,0.91,1e-06,25.0,20,15
65.58,0.9,1e-06,23.81,21,16
65.48,0.9,1e-06,22.73,22,17
65.71,0.89,1e-06,21.74,23,18
67.62,0.87,1e-06,20.83,24,19
68.77,0.86,1e-06,24.0,25,19
69.77,0.85,1e-06,23.08,26,20
71.86,0.83,1e-06,22.22,27,21
72.48,0.82,1e-06,25.0,28,21
71.25,0.84,1e-06,24.14,29,22
72.65,0.83,1e-06,23.33,30,23
71.95,0.84,1e-06,22.58,31,24
70.31,0.9,1e-06,21.88,32,25
103.84,0.5,1e-06,0.0,1,1
67.45,1.08,1e-06,0.0,2,2
62.2,1.06,1e-06,0.0,3,3
71.83,0.92,1e-06,0.0,4,4
77.73,0.84,1e-06,0.0,5,5
74.66,0.84,1e-06,0.0,6,6
69.77,0.91,1e-06,0.0,7,7
73.32,0.86,1e-06,0.0,8,8
70.85,0.88,1e-06,11.11,9,8
71.07,0.86,1e-06,10.0,10,9
67.92,0.91,1e-06,9.09,11,10
67.47,0.9,1e-06,8.33,12,11
66.51,0.91,1e-06,7.69,13,12
64.56,0.94,1e-06,7.14,14,13
66.87,0.91,1e-06,6.67,15,14
67.66,0.89,1e-06,6.25,16,15
69.59,0.87,1e-06,11.76,17,15
68.7,0.87,1e-06,11.11,18,16
66.8,0.91,1e-06,10.53,19,17
67.5,0.9,1e-06,10.0,20,18
68.85,0.88,1e-06,9.52,21,19
69.39,0.87,1e-06,9.09,22,20
70.59,0.86,1e-06,8.7,23,21
71.86,0.84,1e-06,8.33,24,22
71.4,0.84,1e-06,8.0,25,23
72.68,0.83,1e-06,7.69,26,24
71.2,0.86,1e-06,7.41,27,25
71.5,0.85,1e-06,7.14,28,26
72.43,0.84,1e-06,10.34,29,26
71.33,0.85,1e-06,10.0,30,27
70.76,0.86,1e-06,9.68,31,28
70.94,0.86,1e-06,9.38,32,29
83.38,0.62,1e-06,0.0,1,1
88.7,0.59,1e-06,0.0,2,2
89.08,0.58,1e-06,0.0,3,3
81.43,0.66,1e-06,25.0,4,3
88.56,0.61,1e-06,20.0,5,4
95.07,0.58,1e-06,16.67,6,5
92.92,0.59,1e-06,28.57,7,5
92.74,0.59,1e-06,37.5,8,5
93.9,0.58,1e-06,33.33,9,6
88.49,0.65,1e-06,30.0,10,7
86.77,0.66,1e-06,27.27,11,8
87.58,0.65,1e-06,25.0,12,9
87.63,0.64,1e-06,23.08,13,10
87.39,0.64,1e-06,21.43,14,11
88.92,0.63,1e-06,20.0,15,12
86.47,0.65,1e-06,18.75,16,13
87.59,0.64,1e-06,17.65,17,14
84.84,0.68,1e-06,22.22,18,14
86.22,0.67,1e-06,21.05,19,15
87.96,0.66,1e-06,20.0,20,16
87.03,0.66,1e-06,19.05,21,17
87.86,0.66,1e-06,18.18,22,18
87.52,0.66,1e-06,17.39,23,19
86.78,0.66,1e-06,16.67,24,20
84.85,0.69,1e-06,16.0,25,21
84.72,0.69,1e-06,15.38,26,22
84.84,0.68,1e-06,18.52,27,22
84.58,0.68,1e-06,17.86,28,23
83.97,0.68,1e-06,17.24,29,24
84.79,0.68,1e-06,16.67,30,25
84.18,0.68,1e-06,16.13,31,26
83.15,0.7,1e-06,15.62,32,27
