ID,Tipo,Energía Consumida (J),Tiempo de Sincronización (s),Retransmisiones,IsSynStatus
TDMA,CH_17,CH,0.12770448781991198,0.0496525764465332,0,True
TDMA,Node_1,Nodo,0.09013719192319405,0.020725011825561523,0,True
TDMA,Node_2,Nodo,0.22141000725106955,0.09084224700927734,0,True
TDMA,Node_4,Nodo,0.10980850865198546,0.03711056709289551,0,True
TDMA,Node_5,Nodo,0.20931667991967365,0.0885775089263916,0,True
TDMA,Node_6,Nodo,0.2611776338910533,0.11139440536499023,0,True
TDMA,Node_7,Nodo,0.31263189560833193,0.12596964836120605,0,True
TDMA,Node_8,Nodo,0.1645882525568644,0.0673363208770752,0,True
TDMA,Node_10,Nodo,0.21792581800446867,0.08942675590515137,0,True
TDMA,Node_12,Nodo,0.15480608687486344,0.06123518943786621,0,True
TDMA,Node_13,Nodo,0.22056611945483687,0.09048676490783691,0,True
TDMA,Node_14,Nodo,0.2503835074998014,0.09958434104919434,0,True
TDMA,Node_20,Nodo,0.12349319640722092,0.04800891876220703,0,True
TDMA,CH_16,CH,0.08949371239514639,0.02000737190246582,0,True
TDMA,Node_3,Nodo,0.22093670602364127,0.08984804153442383,0,True
TDMA,Node_9,Nodo,0.10215789982779092,0.031748056411743164,0,True
TDMA,Node_11,Nodo,0.19744855394359986,0.08473467826843262,0,True
TDMA,Node_15,Nodo,0.12552587653815897,0.04691004753112793,0,True
TDMA,Node_18,Nodo,0.1488781178898754,0.05949544906616211,0,True
TDMA,Node_19,Nodo,0.14257302116194373,0.055010080337524414,0,True
TDMA,CH_14,CH,0.12810841685212707,0.046201467514038086,0,True
TDMA,Node_1,Nodo,0.13680400919962024,0.05062460899353027,0,True
TDMA,Node_2,Nodo,0.15167811474788442,0.05881047248840332,0,True
TDMA,Node_3,Nodo,0.1904600038843042,0.07971930503845215,0,True
TDMA,Node_4,Nodo,0.18717289531682893,0.07415127754211426,0,True
TDMA,Node_5,Nodo,0.18484014373309945,0.07788300514221191,0,True
TDMA,Node_6,Nodo,0.24647578179715693,0.10290384292602539,0,True
TDMA,Node_8,Nodo,0.2665914403999866,0.10988950729370117,0,True
TDMA,Node_9,Nodo,0.10750952408262285,0.033553361892700195,0,True
TDMA,Node_10,Nodo,0.27945553137649515,0.11150527000427246,0,True
TDMA,Node_11,Nodo,0.10559086166134782,0.03187823295593262,0,True
TDMA,Node_12,Nodo,0.14089207142922958,0.05306839942932129,0,True
TDMA,Node_13,Nodo,0.24430940051614228,0.10230612754821777,0,True
TDMA,Node_15,Nodo,0.1065686383658341,0.03328824043273926,0,True
TDMA,Node_16,Nodo,0.12640435160889743,0.046193599700927734,0,True
TDMA,Node_18,Nodo,0.25038028890207886,0.09873652458190918,0,True
TDMA,Node_19,Nodo,0.18810671410203908,0.1374351978302002,0,True
TDMA,Node_20,Nodo,0.24043358019887676,0.09796833992004395,0,True
TDMA,CH_17,CH,0.17131922729389784,0.06762933731079102,0,True
TDMA,Node_7,Nodo,0.11569100446366312,0.03892040252685547,0,True
TDMA,CH_20,CH,0.1625887230511455,0.06374263763427734,0,True
TDMA,Node_4,Nodo,0.2196706267113199,0.09102821350097656,0,True
TDMA,Node_5,Nodo,0.1485415848455566,0.05773425102233887,0,True
TDMA,Node_8,Nodo,0.16832878808250298,0.06976842880249023,0,True
TDMA,Node_9,Nodo,0.23733095589800782,0.09441971778869629,0,True
TDMA,Node_11,Nodo,0.11466630082907506,0.03888511657714844,0,True
TDMA,Node_16,Nodo,0.26443544834359745,0.10881447792053223,0,True
TDMA,Node_17,Nodo,0.09816555680137809,0.026095867156982422,0,True
TDMA,Node_19,Nodo,0.19313561480287858,0.07871222496032715,0,True
TDMA,CH_6,CH,0.13371017274783972,0.04906940460205078,0,True
TDMA,Node_1,Nodo,0.12953484276155428,0.04703164100646973,0,True
TDMA,Node_2,Nodo,0.2627771261871884,0.11033487319946289,0,True
TDMA,Node_3,Nodo,0.11328676590927769,0.03632092475891113,0,True
TDMA,Node_7,Nodo,0.22900504469983743,0.09198212623596191,0,True
TDMA,Node_10,Nodo,0.20029738120461707,0.08041143417358398,0,True
TDMA,Node_12,Nodo,0.12583110860569305,0.04671978950500488,0,True
TDMA,Node_13,Nodo,0.26310529692798024,0.10313963890075684,0,True
TDMA,Node_14,Nodo,0.21891498462174389,0.09109783172607422,0,True
TDMA,Node_15,Nodo,0.3084472732740283,0.12401342391967773,0,True
TDMA,Node_18,Nodo,0.18360815100470687,0.07673335075378418,0,True
